                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.47479,                0.42406,                 1.0831,                0.88387,                0.82667,                0.86636,                0.67003,                 1.1459,                0.80722,                 1.8989,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.4672,                 0.3974,                 1.0828,                0.87651,                0.85177,                0.91218,                0.73575,                 1.0483,                0.87696,                 1.7398,              0.0010298,              0.0010298,              0.0010298
                     51,                0.46945,                0.40804,                 1.0886,                0.87418,                0.74118,                 0.8821,                0.70351,                 1.0319,                  1.098,                 1.7607,                0.00101,                0.00101,                0.00101
                     52,                0.47177,                0.39717,                 1.0781,                      1,                 0.6131,                 0.8002,                0.64399,                 1.0537,                 1.4562,                 1.7331,              0.0009902,              0.0009902,              0.0009902
                     53,                0.44448,                0.37313,                 1.0643,                0.86829,                   0.84,                0.89999,                0.68424,                 1.1689,                0.95253,                 1.9356,              0.0009704,              0.0009704,              0.0009704
                     54,                0.45295,                0.37614,                 1.0711,                0.91764,                0.74284,                0.83966,                0.68948,                 1.0009,                 1.0179,                 1.7741,              0.0009506,              0.0009506,              0.0009506
                     55,                0.44215,                0.37531,                 1.0511,                0.92907,                   0.72,                0.84606,                0.71055,                0.92945,                 1.0302,                 1.6576,              0.0009308,              0.0009308,              0.0009308
                     56,                0.43337,                0.36359,                 1.0635,                0.86186,                0.78667,                0.82585,                0.70535,                0.93139,                0.91295,                 1.6013,               0.000911,               0.000911,               0.000911
                     57,                0.43377,                0.37876,                 1.0526,                0.86966,                   0.84,                0.88593,                0.72585,                0.97929,                 0.9474,                 1.6602,              0.0008912,              0.0008912,              0.0008912
                     58,                0.42792,                0.35958,                 1.0525,                0.92386,                   0.84,                0.91136,                0.75177,                 1.0816,                0.76191,                 1.7501,              0.0008714,              0.0008714,              0.0008714
                     59,                0.43264,                0.36555,                 1.0463,                0.91643,                0.73333,                0.86576,                 0.6912,                 1.0168,                0.92924,                 1.8389,              0.0008516,              0.0008516,              0.0008516
                     60,                0.42714,                0.34964,                 1.0499,                0.84717,                0.89333,                0.90625,                0.72531,                0.96329,                 0.9441,                 1.6427,              0.0008318,              0.0008318,              0.0008318
                     61,                0.41706,                0.35824,                 1.0334,                0.93747,                0.79954,                0.88504,                 0.7054,                0.94389,                  1.101,                   1.55,               0.000812,               0.000812,               0.000812
                     62,                0.42386,                0.34869,                 1.0503,                 0.8823,                0.79961,                0.89589,                0.72837,                0.99922,                0.81151,                 1.6789,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.4154,                0.36296,                 1.0427,                0.91599,                   0.72,                0.87266,                0.71726,                0.92381,                 1.0478,                 1.7147,              0.0007724,              0.0007724,              0.0007724
                     64,                0.41709,                0.34173,                 1.0427,                0.93271,                0.82667,                0.88585,                  0.674,                 1.1269,                0.83047,                 1.8697,              0.0007526,              0.0007526,              0.0007526
                     65,                    0.4,                0.34192,                 1.0287,                0.88056,                0.78641,                0.90639,                0.73927,                 1.0166,                0.88922,                 1.7565,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.3882,                0.34793,                 1.0276,                0.88828,                0.84811,                0.91009,                0.74659,                0.95045,                0.73405,                 1.7107,               0.000713,               0.000713,               0.000713
                     67,                0.39647,                0.35872,                 1.0248,                0.92197,                   0.72,                0.86049,                0.68765,                 1.0068,                0.84604,                 1.7526,              0.0006932,              0.0006932,              0.0006932
                     68,                0.38893,                0.33032,                 1.0301,                0.93996,                  0.835,                0.93658,                0.78095,                0.90535,                0.75877,                 1.6935,              0.0006734,              0.0006734,              0.0006734
                     69,                0.39706,                0.31626,                 1.0288,                0.88235,                0.79994,                0.91729,                0.77146,                0.91046,                  0.658,                 1.6777,              0.0006536,              0.0006536,              0.0006536
                     70,                0.37827,                0.32503,                 1.0177,                0.93639,                 0.7852,                0.89299,                 0.7731,                0.92815,                0.85336,                 1.6834,              0.0006338,              0.0006338,              0.0006338
                     71,                0.37269,                 0.3193,                 1.0204,                 0.9373,                0.79736,                0.92681,                0.74472,                0.95315,                0.85012,                 1.6675,               0.000614,               0.000614,               0.000614
                     72,                0.36398,                0.33423,                 1.0083,                0.87584,                0.78667,                0.91028,                0.70442,                   1.02,                0.86608,                 1.7816,              0.0005942,              0.0005942,              0.0005942
                     73,                0.36531,                0.32623,                 1.0146,                0.88201,                0.79737,                0.91845,                0.73352,                 1.0084,                0.86742,                  1.805,              0.0005744,              0.0005744,              0.0005744
                     74,                0.36388,                0.31298,                 1.0097,                0.93306,                0.74345,                0.88751,                0.71611,                 1.0374,                 1.0032,                 1.8974,              0.0005546,              0.0005546,              0.0005546
                     75,                0.36061,                0.32363,                 1.0111,                0.87316,                0.73427,                0.86315,                0.65595,                 1.0936,                 1.0643,                 1.9105,              0.0005348,              0.0005348,              0.0005348
                     76,                0.36914,                0.30137,                  1.019,                0.88423,                   0.84,                0.90151,                0.70271,                 1.0143,                 1.0077,                 1.8015,               0.000515,               0.000515,               0.000515
                     77,                0.34752,                0.28539,                0.99268,                0.93303,                0.74305,                0.87985,                0.68088,                 1.0356,                 1.1176,                 1.7939,              0.0004952,              0.0004952,              0.0004952
                     78,                0.35738,                0.30356,                 1.0006,                0.88551,                   0.84,                0.86394,                0.68945,                0.96811,                 1.1775,                 1.7128,              0.0004754,              0.0004754,              0.0004754
                     79,                0.33493,                0.29967,                 0.9931,                0.93322,                0.74535,                0.86487,                 0.6976,                0.93992,                 1.0594,                 1.6869,              0.0004556,              0.0004556,              0.0004556
                     80,                0.35235,                0.30402,                 1.0074,                0.86586,                0.68856,                0.88913,                0.70705,                0.95051,                 1.1493,                 1.6306,              0.0004358,              0.0004358,              0.0004358
                     81,                0.33507,                0.28725,                0.99384,                0.92444,                   0.72,                0.87857,                0.72734,                 1.0213,                  1.029,                 1.7552,               0.000416,               0.000416,               0.000416
                     82,                0.34288,                0.31402,                0.99966,                0.86614,                0.69023,                0.91145,                0.72763,                0.95985,                0.99268,                 1.7205,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.3334,                0.29961,                0.99129,                0.88174,                0.79537,                0.93197,                0.73937,                0.89448,                0.92216,                 1.6776,              0.0003764,              0.0003764,              0.0003764
                     84,                0.33131,                 0.2958,                 0.9901,                0.93729,                0.79718,                0.93184,                0.73411,                0.97755,                 1.0166,                 1.7505,              0.0003566,              0.0003566,              0.0003566
