                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.33138,                0.28955,                0.97156,                0.94131,                0.89333,                0.93743,                0.80984,                0.88976,                0.45152,                 1.6694,              0.0008714,              0.0008714,              0.0008714
                     59,                0.33622,                0.28428,                0.96959,                0.94293,                0.94667,                0.94644,                0.83135,                0.71203,                0.49872,                 1.3942,              0.0008516,              0.0008516,              0.0008516
                     60,                0.32925,                0.27003,                0.97657,                 0.9424,                0.89333,                0.93747,                0.78094,                0.81999,                0.56034,                  1.517,              0.0008318,              0.0008318,              0.0008318
                     61,                0.32785,                0.27343,                0.97076,                0.94424,                0.90311,                0.94045,                 0.7762,                0.86759,                0.58346,                  1.583,               0.000812,               0.000812,               0.000812
                     62,                0.31888,                0.26754,                0.97182,                0.99233,                0.82667,                0.94114,                0.81058,                0.80454,                0.50467,                 1.5013,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.3281,                0.28288,                0.96729,                0.94537,                0.94667,                0.94202,                0.81289,                0.82412,                0.44767,                 1.6039,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.3145,                0.26319,                0.96455,                0.89336,                0.94667,                0.92764,                0.80985,                0.68507,                0.56342,                 1.3841,              0.0007526,              0.0007526,              0.0007526
                     65,                0.30587,                0.26488,                0.95893,                0.89675,                0.94667,                0.92725,                0.75416,                0.84174,                0.55449,                  1.588,              0.0007328,              0.0007328,              0.0007328
                     66,                0.29833,                0.26247,                0.95245,                0.89843,                0.94667,                0.92808,                0.78077,                0.77787,                 0.7467,                 1.4409,               0.000713,               0.000713,               0.000713
                     67,                0.30658,                0.26263,                0.96428,                0.89439,                0.90335,                0.93463,                0.80229,                0.80768,                0.66775,                 1.4542,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.3046,                0.26499,                0.96097,                0.89645,                0.93333,                0.94585,                0.80507,                0.80688,                0.48194,                 1.5445,              0.0006734,              0.0006734,              0.0006734
                     69,                0.31119,                0.26567,                0.96242,                0.89427,                0.94667,                0.94108,                0.79278,                0.87287,                0.47214,                 1.6264,              0.0006536,              0.0006536,              0.0006536
                     70,                0.28498,                0.24741,                0.95059,                0.89825,                0.94667,                0.93879,                0.80226,                0.78738,                0.51319,                 1.5414,              0.0006338,              0.0006338,              0.0006338
                     71,                0.30045,                0.27059,                0.95649,                0.89229,                0.94667,                0.94094,                0.81274,                0.83704,                0.50539,                 1.6053,               0.000614,               0.000614,               0.000614
                     72,                 0.2883,                0.25113,                0.95593,                 0.9341,                0.94493,                0.93777,                0.79204,                0.76927,                0.50216,                  1.529,              0.0005942,              0.0005942,              0.0005942
                     73,                0.28894,                0.25137,                0.94864,                0.94666,                0.94647,                0.92955,                0.74174,                0.86376,                0.50408,                 1.6831,              0.0005744,              0.0005744,              0.0005744
                     74,                0.27571,                0.24938,                0.94548,                0.94665,                0.94627,                0.94623,                0.79635,                0.85665,                0.53524,                  1.679,              0.0005546,              0.0005546,              0.0005546
                     75,                0.27884,                0.24557,                0.95651,                0.94107,                0.85168,                0.94029,                0.79967,                0.71017,                0.55693,                 1.4276,              0.0005348,              0.0005348,              0.0005348
                     76,                0.27127,                0.23452,                0.94149,                0.84331,                0.89333,                0.92498,                0.79488,                0.78664,                   0.55,                 1.5604,               0.000515,               0.000515,               0.000515
                     77,                0.26956,                 0.2357,                0.93869,                0.84568,                0.89333,                0.92133,                0.77057,                0.87898,                0.52159,                 1.7539,              0.0004952,              0.0004952,              0.0004952
                     78,                0.27099,                0.23669,                0.94525,                  0.897,                0.94667,                 0.9432,                0.78724,                 0.8298,                0.48757,                 1.5662,              0.0004754,              0.0004754,              0.0004754
                     79,                0.26433,                 0.2328,                0.93993,                0.89141,                0.89333,                0.91132,                0.76911,                0.87002,                0.45378,                 1.6229,              0.0004556,              0.0004556,              0.0004556
                     80,                0.26636,                0.23387,                0.94306,                0.88632,                   0.84,                0.88901,                0.76912,                0.84146,                 0.4606,                 1.6556,              0.0004358,              0.0004358,              0.0004358
                     81,                0.27044,                0.23765,                0.93931,                 0.8446,                0.89333,                0.87759,                0.77203,                0.91489,                0.44511,                 1.7275,               0.000416,               0.000416,               0.000416
                     82,                0.25654,                0.22885,                0.93024,                0.84522,                0.89333,                0.90936,                0.78965,                0.85734,                0.50447,                 1.6332,              0.0003962,              0.0003962,              0.0003962
                     83,                0.25953,                0.24005,                0.93257,                0.83746,                0.89333,                0.88007,                0.77241,                0.87336,                0.49244,                 1.6936,              0.0003764,              0.0003764,              0.0003764
                     84,                0.25052,                0.23206,                0.93563,                0.84204,                 0.8529,                0.85907,                0.73977,                0.84011,                0.53576,                 1.6634,              0.0003566,              0.0003566,              0.0003566
                     85,                0.24974,                0.22678,                0.93925,                0.84681,                0.89333,                 0.8741,                0.76631,                0.88969,                 0.4734,                 1.7176,              0.0003368,              0.0003368,              0.0003368
                     86,                0.24762,                0.22701,                0.92883,                0.84437,                0.89333,                 0.8878,                0.77987,                0.88882,                0.44992,                 1.7534,               0.000317,               0.000317,               0.000317
                     87,                0.24707,                0.22557,                0.92901,                0.88627,                   0.84,                0.87929,                0.75086,                0.90276,                0.45519,                 1.7893,              0.0002972,              0.0002972,              0.0002972
                     88,                0.24379,                0.22301,                0.92317,                0.88887,                 0.8532,                0.88857,                0.76562,                0.85496,                0.44489,                 1.6876,              0.0002774,              0.0002774,              0.0002774
                     89,                0.23395,                0.22224,                0.92513,                0.88606,                   0.84,                0.89104,                0.76915,                0.90216,                 0.4535,                 1.7522,              0.0002576,              0.0002576,              0.0002576
                     90,                0.24093,                0.21784,                0.93363,                0.88629,                   0.84,                  0.902,                0.77667,                0.89197,                0.45298,                 1.7209,              0.0002378,              0.0002378,              0.0002378
                     91,                0.17095,                0.16293,                0.88862,                0.88904,                0.89333,                0.91755,                0.78304,                0.79808,                0.51634,                 1.5608,               0.000218,               0.000218,               0.000218
                     92,                0.15637,                0.13137,                0.88182,                0.88652,                   0.84,                0.87963,                0.76091,                0.74046,                0.58271,                 1.5186,              0.0001982,              0.0001982,              0.0001982
                     93,                0.15154,                0.13208,                0.87258,                0.84199,                 0.8526,                0.89131,                0.78546,                 0.8022,                0.52918,                 1.5383,              0.0001784,              0.0001784,              0.0001784
                     94,                0.15259,                0.12864,                0.86939,                0.93797,                0.82667,                0.92903,                0.79788,                0.78143,                0.50674,                 1.5165,              0.0001586,              0.0001586,              0.0001586
                     95,                0.14973,                0.12722,                0.86559,                0.93932,                0.82667,                0.92672,                0.78842,                 0.8051,                0.50111,                 1.5979,              0.0001388,              0.0001388,              0.0001388
                     96,                0.14903,                0.12449,                 0.8697,                0.88662,                   0.84,                0.90112,                0.79493,                 0.8331,                0.45626,                 1.6407,               0.000119,               0.000119,               0.000119
                     97,                0.13786,                0.12166,                0.86038,                 0.9353,                0.82667,                0.92312,                0.83109,                0.74736,                0.46832,                 1.5047,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.13577,                0.11664,                0.86657,                0.88878,                0.85237,                0.93135,                0.83222,                 0.6892,                 0.4732,                 1.4002,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.13291,                0.11691,                0.85573,                 0.8888,                0.85259,                0.93128,                0.81847,                0.71549,                0.47855,                 1.4323,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.13019,                0.11717,                0.85714,                0.93199,                0.82667,                0.93045,                0.82139,                0.82012,                0.48714,                 1.6055,               3.98e-05,               3.98e-05,               3.98e-05
